local_polo,campus_id,name,local_bloco_polo,capacidade,id,permite_reserva,informacoes_adicionais,responsavel_ids
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",COORDENAÇÃO DE ADMINISTRAÇÃO,"[4, u'COORDENA\xc7\xd5ES']",0,224,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",COORDENAÇÃO DE ADMINISTRAÇÃO PÚBLICA,"[4, u'COORDENA\xc7\xd5ES']",0,225,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",COORDENAÇÃO DE LETRAS,"[4, u'COORDENA\xc7\xd5ES']",0,226,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",SECRETARIA 6,"[14, 'BLOCO L']",0,227,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",COORDENAÇÃO DE INFRAESTRUTURA,"[4, u'COORDENA\xc7\xd5ES']",0,228,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",DIREÇÃO GERAL,"[4, u'COORDENA\xc7\xd5ES']",0,229,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",NTI - MANUTENÇÃO,"[1, 'A']",0,230,False,False,[]
"[4, u'VI\xc7OSA']","[1, 'CAMPUS ARAPIRACA']",Administração,"[18, 'Administrativo']",0,233,False,False,[]
"[4, u'VI\xc7OSA']","[1, 'CAMPUS ARAPIRACA']",NAE,"[18, 'Administrativo']",0,234,False,False,[]
"[4, u'VI\xc7OSA']","[1, 'CAMPUS ARAPIRACA']",CRCA,"[18, 'Administrativo']",0,235,False,False,[]
"[4, u'VI\xc7OSA']","[1, 'CAMPUS ARAPIRACA']",Laboratório Multidisciplinar,"[18, 'Administrativo']",0,236,False,False,[]
"[4, u'VI\xc7OSA']","[1, 'CAMPUS ARAPIRACA']",Biblioteca,"[18, 'Administrativo']",0,237,False,False,[]
"[4, u'VI\xc7OSA']","[1, 'CAMPUS ARAPIRACA']",Secretaria Executiva,"[18, 'Administrativo']",0,238,False,False,[]
"[4, u'VI\xc7OSA']","[1, 'CAMPUS ARAPIRACA']",Laboratório de Biologia,"[18, 'Administrativo']",0,239,False,False,[]
"[4, u'VI\xc7OSA']","[1, 'CAMPUS ARAPIRACA']",Laboratório de Microscopia,"[18, 'Administrativo']",0,240,False,False,[]
"[4, u'VI\xc7OSA']","[1, 'CAMPUS ARAPIRACA']",Laboratório de Doenças Parasitárias,"[18, 'Administrativo']",0,241,False,False,[]
"[4, u'VI\xc7OSA']","[1, 'CAMPUS ARAPIRACA']",Laboratório de Química,"[18, 'Administrativo']",0,242,False,False,[]
"[4, u'VI\xc7OSA']","[1, 'CAMPUS ARAPIRACA']",Laboratório de Anatomia,"[18, 'Administrativo']",0,243,False,False,[]
"[4, u'VI\xc7OSA']","[1, 'CAMPUS ARAPIRACA']",Casa do Hóspede,"[20, u'Casa do H\xf3spede']",0,244,False,False,[]
"[4, u'VI\xc7OSA']","[1, 'CAMPUS ARAPIRACA']",Ambulatório,"[18, 'Administrativo']",0,245,False,False,[]
"[4, u'VI\xc7OSA']","[1, 'CAMPUS ARAPIRACA']",Laboratório de Experimentação Alimentícia,"[18, 'Administrativo']",10,246,True,False,[]
"[4, u'VI\xc7OSA']","[1, 'CAMPUS ARAPIRACA']",Sala de Professor,"[18, 'Administrativo']",0,247,False,False,[]
